[07-Apr-2026 22:57:49 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"mysqli_connect(): (HY000/2002): No connection could be made because the target machine actively refused it","file":"C:\\xampp\\htdocs\\MARK_16\\connection.php","line":59}
[07-Apr-2026 23:07:02 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"Cannot modify header information - headers already sent by (output started at C:\\xampp\\htdocs\\MARK_16\\config.php:179)","file":"C:\\xampp\\htdocs\\MARK_16\\api\\chat_health.php","line":4}
[07-Apr-2026 23:12:21 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"Cannot modify header information - headers already sent by (output started at C:\\xampp\\htdocs\\MARK_16\\config.php:179)","file":"C:\\xampp\\htdocs\\MARK_16\\api\\chat_health.php","line":4}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"session_start(): Session cannot be started after headers have already been sent","file":"C:\\xampp\\htdocs\\MARK_16\\config.php","line":160}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(../connection.php): Failed to open stream: No such file or directory","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":4}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(): Failed opening '../connection.php' for inclusion (include_path='C:\\xampp\\php\\PEAR')","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":4}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"Cannot modify header information - headers already sent by (output started at C:\\xampp\\htdocs\\MARK_16\\config.php:179)","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":7}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"session_start(): Session cannot be started after headers have already been sent","file":"C:\\xampp\\htdocs\\MARK_16\\config.php","line":160}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(../connection.php): Failed to open stream: No such file or directory","file":"C:\\xampp\\htdocs\\MARK_16\\org\\dashboard.php","line":4}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(): Failed opening '../connection.php' for inclusion (include_path='C:\\xampp\\php\\PEAR')","file":"C:\\xampp\\htdocs\\MARK_16\\org\\dashboard.php","line":4}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"Undefined variable $connection","file":"C:\\xampp\\htdocs\\MARK_16\\org\\dashboard.php","line":6}
[07-Apr-2026 23:49:44 Asia/Kolkata] [MARK16][uncaught_exception] {"type":"TypeError","message":"mark16_ensure_org_tables(): Argument #1 ($connection) must be of type mysqli, null given, called in C:\\xampp\\htdocs\\MARK_16\\org\\dashboard.php on line 6","file":"C:\\xampp\\htdocs\\MARK_16\\includes\\org_flow.php","line":2}
[07-Apr-2026 23:52:31 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(../connection.php): Failed to open stream: No such file or directory","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":4}
[07-Apr-2026 23:52:31 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(): Failed opening '../connection.php' for inclusion (include_path='C:\\xampp\\php\\PEAR')","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":4}
[07-Apr-2026 23:52:57 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(../connection.php): Failed to open stream: No such file or directory","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":4}
[07-Apr-2026 23:52:57 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"include(): Failed opening '../connection.php' for inclusion (include_path='C:\\xampp\\php\\PEAR')","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":4}
[07-Apr-2026 23:52:57 Asia/Kolkata] [MARK16][php_error] {"severity":2,"message":"Undefined variable $connection","file":"C:\\xampp\\htdocs\\MARK_16\\api\\automation_tick.php","line":19}
[07-Apr-2026 23:52:57 Asia/Kolkata] PHP Fatal error:  Uncaught TypeError: mark16_ensure_org_tables(): Argument #1 ($connection) must be of type mysqli, null given, called in C:\xampp\htdocs\MARK_16\api\automation_tick.php on line 19 and defined in C:\xampp\htdocs\MARK_16\includes\org_flow.php:2
Stack trace:
#0 C:\xampp\htdocs\MARK_16\api\automation_tick.php(19): mark16_ensure_org_tables(NULL)
#1 Command line code(1): include('C:\\xampp\\htdocs...')
#2 {main}
  thrown in C:\xampp\htdocs\MARK_16\includes\org_flow.php on line 2
